"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.296,4,0.372,4,0.11,2.661,0.052,0.5
16,9.5,0.21,9.51,0.163,9.52,0.12,2.715,0.049,0.3
26,8.4,1.287,8.4,1.339,8.4,0.13,3.024,0.078,1.5
36,6.5,7.711,6.82,7.289,6.78,0.25,7.968,0.28,4.9
46,4.6,2.259,4.9,1.386,4.95,0.49,10.871,0.175,1.9
56,3.5,1.769,3.4,1.971,3.49,0.51,11.17,0.189,2.3
66,4.3,0.344,4.3,0.524,4.23,0.47,11.341,0.13,0.9
76,3,0.101,3,0.288,2.94,0.48,11.311,0.154,0.5
86,2,1.937,2.02,1.89,2.01,0.44,11.563,0.186,1.3
96,1.8,0.303,1.82,0.436,2.01,0.53,11.656,0.125,1.1
106,1.6,0.744,1.63,0.895,1.56,0.49,11.706,0.202,1.1
116,2,0.846,2,0.718,1.9,0.51,11.723,0.16,0.7
126,1.4,2.239,1.46,2.384,1.44,0.56,11.976,0.225,3.3
136,1.1,0.872,1.09,0.824,0.9,0.56,12.261,0.191,1.1
146,1,0.858,0.97,1.564,1.03,0.54,12.406,0.198,2.5
