"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.333,4.01,1.224,4.05,0.12,2.855,0.081,1.1
16,9.5,0.973,9.54,1,9.53,0.15,3.239,0.094,1.1
26,8.4,2.711,8.36,2.769,8.3,0.19,4.413,0.142,2.9
36,6.5,3.644,6.42,3.693,6.44,0.29,6.315,0.221,3.7
46,4.6,1.795,4.52,2.004,4.51,0.32,7.59,0.144,1.1
56,3.5,1.271,3.53,0.785,3.51,0.32,7.939,0.121,0.9
66,4.3,0.492,4.27,0.445,4.26,0.39,7.986,0.112,0.5
76,3,0.587,3,0.476,2.95,0.37,8.094,0.129,0.5
86,2,0.276,2.02,0.252,1.99,0.32,7.995,0.113,0.9
96,1.8,0.22,1.8,0.215,1.77,0.37,8.054,0.124,0.3
106,1.6,1.638,1.63,1.504,1.59,0.41,8.2,0.158,0.1
116,2,1.232,2.08,0.852,2.02,0.35,8.345,0.108,0.7
126,1.4,0.379,1.38,0.525,1.34,0.35,8.395,0.11,0.7
136,1.1,0.421,1.06,0.481,1.11,0.37,8.477,0.132,0.5
146,1,0.343,1.02,0.358,0.99,0.42,8.518,0.116,0.3
