"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.805,4.02,0.82,4.04,0.14,2.74,0.072,0.9
16,9.5,0.801,9.51,0.742,9.52,0.15,2.973,0.065,0.9
26,8.4,1.606,8.52,1.568,8.49,0.14,3.443,0.089,1.5
36,6.5,0.752,6.49,0.778,6.51,0.17,3.865,0.072,0.5
46,4.6,0.605,4.58,0.365,4.6,0.16,3.971,0.049,0.7
56,3.5,11.205,3.91,10.209,3.92,0.45,10.827,0.341,4.9
66,4.3,1.68,4.33,2.021,4.43,0.69,15.188,0.198,1.9
76,3,0.351,3,0.707,2.97,0.66,15.224,0.219,2.3
86,2,0.504,2,1.068,2,0.63,15.217,0.19,1.1
96,1.8,0.196,1.78,0.72,2.04,0.78,15.364,0.237,2.9
106,1.6,0.214,1.57,0.729,1.46,0.76,15.567,0.267,0.7
116,2,0.877,1.96,1.568,1.91,0.68,15.57,0.273,0.1
126,1.4,0.183,1.4,0.45,1.28,0.71,15.554,0.215,0.1
136,1.1,0.293,1.1,0.728,1.05,0.68,15.613,0.188,2.1
146,1,1.073,1.03,1.167,0.79,0.59,15.551,0.224,2.1
