"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.279,3.97,1.315,3.99,0.15,2.916,0.076,1.3
16,9.5,1.477,9.54,1.532,9.52,0.15,3.536,0.1,1.5
26,8.4,2.09,8.47,1.903,8.46,0.2,4.303,0.142,1.9
36,6.5,1.817,6.51,1.885,6.46,0.25,5.06,0.141,1.9
46,4.6,1.742,4.64,1.68,4.59,0.24,5.673,0.122,1.5
56,3.5,2.576,3.38,2.759,3.42,0.27,6.466,0.192,2.7
66,4.3,4.778,4.42,4.117,4.34,0.4,8.151,0.28,4.1
76,3,0.701,2.97,0.895,2.93,0.41,9.257,0.151,1.3
86,2,0.664,2.04,0.613,2,0.38,9.241,0.114,0.9
96,1.8,0.541,1.79,0.757,1.95,0.39,9.229,0.143,1.3
106,1.6,0.97,1.65,0.16,1.72,0.45,9.289,0.153,1.5
116,2,0.374,2,0.113,2.03,0.37,9.268,0.145,0.1
126,1.4,0.778,1.45,0.707,1.61,0.4,9.224,0.197,0.5
136,1.1,0.174,1.09,0.219,1.02,0.36,9.174,0.153,0.5
146,1,0.482,1,0.665,0.95,0.47,9.168,0.107,0.1
