"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.226,4,0.187,4.03,0.1,2.42,0.04,0.1
16,9.5,0.325,9.51,0.281,9.53,0.1,2.449,0.045,0.3
26,8.4,1.332,8.32,1.235,8.31,0.12,2.763,0.073,1.1
36,6.5,1.709,6.47,1.664,6.47,0.17,3.472,0.092,1.7
46,4.6,3.294,4.68,3.374,4.68,0.22,5.112,0.165,3.3
56,3.5,5.254,3.73,4.994,3.69,0.32,7.834,0.236,4.9
66,4.3,0.329,4.29,0.336,4.33,0.45,9.286,0.125,0.9
76,3,0.328,3.01,0.139,3.11,0.42,9.299,0.142,0.7
86,2,0.669,2.03,0.89,2.03,0.44,9.323,0.121,1.1
96,1.8,0.196,1.81,0.35,1.68,0.45,9.408,0.129,1.1
106,1.6,0.664,1.64,0.752,1.63,0.44,9.465,0.139,0.3
116,2,0.412,1.99,0.872,2,0.54,9.458,0.172,1.3
126,1.4,0.705,1.46,0.745,1.47,0.39,9.565,0.16,1.3
136,1.1,0.259,1.11,0.435,1,0.45,9.451,0.134,0.7
146,1,0.872,0.96,1.101,0.91,0.41,9.62,0.145,1.1
