"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.054,4,0.091,3.99,0.1,2.668,0.04,0.1
16,9.5,0.086,9.5,0.027,9.48,0.1,2.66,0.038,0.3
26,8.4,2.387,8.3,2.409,8.31,0.18,3.593,0.1,2.5
36,6.5,3.502,6.62,3.338,6.63,0.26,5.49,0.169,3.5
46,4.6,1.125,4.58,1.237,4.55,0.33,6.533,0.121,0.7
56,3.5,1.453,3.41,1.721,3.41,0.33,6.877,0.132,1.9
66,4.3,0.845,4.27,1.226,4.3,0.36,7.213,0.106,1.1
76,3,0.656,3.02,0.802,2.99,0.32,7.306,0.097,0.7
86,2,1.174,2.09,0.391,2.07,0.27,7.396,0.105,0.1
96,1.8,0.196,1.8,0.286,1.72,0.35,7.332,0.117,0.5
106,1.6,0.302,1.59,0.395,1.6,0.32,7.371,0.124,1.1
116,2,0.299,1.99,0.519,1.95,0.36,7.356,0.098,0.5
126,1.4,0.571,1.39,0.705,1.34,0.36,7.368,0.101,1.5
136,1.1,0.366,1.09,0.285,1.07,0.36,7.493,0.086,0.1
146,1,0.448,1,0.739,0.9,0.4,7.454,0.132,0.1
