"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.726,3.96,1.713,3.95,0.15,3.118,0.085,1.7
16,9.5,2.216,9.53,2.152,9.54,0.19,4.194,0.145,2.1
26,8.4,0.477,8.39,0.693,8.39,0.19,4.715,0.075,0.9
36,6.5,0.854,6.53,0.899,6.53,0.21,4.904,0.075,1.1
46,4.6,0.645,4.59,0.66,4.62,0.22,5.012,0.066,0.9
56,3.5,2.092,3.44,1.907,3.45,0.27,5.408,0.152,1.9
66,4.3,0.199,4.29,0.148,4.26,0.26,5.757,0.083,0.5
76,3,0.223,3.01,0.32,2.91,0.26,5.776,0.071,0.3
86,2,0.322,1.99,0.287,2.04,0.28,5.783,0.075,0.3
96,1.8,0.841,1.81,0.646,1.76,0.27,5.809,0.088,0.7
106,1.6,0.176,1.6,0.019,1.63,0.28,5.867,0.08,0.1
116,2,0.435,2,0.576,2.03,0.27,5.862,0.067,0.5
126,1.4,0.259,1.41,0.318,1.42,0.27,5.931,0.087,0.5
136,1.1,0.452,1.11,0.432,1.05,0.29,5.955,0.082,0.9
146,1,0.674,0.99,0.865,0.96,0.23,5.949,0.092,0.9
