"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.839,3.99,0.776,3.97,0.13,2.658,0.068,0.7
16,9.5,0.201,9.5,0.067,9.48,0.11,2.783,0.048,0.1
26,8.4,4.93,8.37,4.869,8.43,0.25,5.626,0.185,4.7
36,6.5,2.284,6.52,2.325,6.52,0.39,7.808,0.192,2.3
46,4.6,1.053,4.61,0.947,4.65,0.35,8.155,0.141,1.1
56,3.5,0.764,3.48,1,3.53,0.35,8.274,0.12,0.3
66,4.3,0.4,4.29,0.766,4.16,0.34,8.397,0.119,1.1
76,3,1.566,2.93,1.898,2.97,0.43,8.58,0.158,1.9
86,2,0.669,1.98,0.334,1.92,0.32,8.782,0.126,0.9
96,1.8,0.408,1.8,0.154,1.8,0.37,8.902,0.126,0.1
106,1.6,1.181,1.69,0.969,1.7,0.39,8.675,0.142,0.3
116,2,0.354,2.02,0.136,2,0.38,8.65,0.117,0.5
126,1.4,2.244,1.37,1.758,1.45,0.43,8.828,0.15,0.9
136,1.1,0.327,1.08,0.504,1.05,0.45,9.063,0.124,1.5
146,1,0.26,1,0.179,0.97,0.42,9.087,0.108,0.3
