"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.429,3.99,0.286,3.97,0.14,2.488,0.031,0.1
16,9.5,0.373,9.5,0.331,9.5,0.11,2.53,0.036,0.1
26,8.4,1.94,8.48,1.867,8.46,0.14,3.181,0.101,1.9
36,6.5,2.225,6.52,2.19,6.52,0.23,4.292,0.15,2.1
46,4.6,1.406,4.69,1.451,4.71,0.23,4.963,0.128,1.5
56,3.5,0.67,3.48,0.864,3.48,0.21,5.288,0.077,0.7
66,4.3,0.269,4.3,0.33,4.33,0.25,5.371,0.061,0.9
76,3,0.543,2.98,0.52,3.01,0.23,5.418,0.069,0.1
86,2,0.351,2,0.298,2.03,0.22,5.429,0.062,0.7
96,1.8,0.869,1.81,1.05,1.81,0.28,5.517,0.078,0.9
106,1.6,0.442,1.6,0.479,1.57,0.26,5.672,0.094,0.1
116,2,2.239,2.06,2.208,2.04,0.27,6.156,0.167,2.1
126,1.4,0.21,1.4,0.238,1.4,0.29,6.471,0.109,0.5
136,1.1,0.299,1.1,0.459,1.07,0.32,6.478,0.084,0.7
146,1,0.831,0.98,1.06,1.03,0.29,6.572,0.124,1.3
