"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.74,4.04,0.768,4.05,0.13,2.658,0.06,0.7
16,9.5,0.458,9.5,0.455,9.52,0.12,2.827,0.047,0.1
26,8.4,2.509,8.46,2.528,8.47,0.21,3.795,0.122,2.7
36,6.5,2.583,6.61,2.454,6.63,0.25,5.165,0.14,2.3
46,4.6,0.982,4.58,0.883,4.54,0.29,5.799,0.103,0.9
56,3.5,2.199,3.52,1.938,3.5,0.27,6.154,0.138,2.1
66,4.3,0.076,4.3,0.167,4.31,0.27,6.504,0.092,0.1
76,3,0.33,3,0.237,3.11,0.31,6.479,0.116,0.1
86,2,0.317,2,0.272,1.98,0.27,6.489,0.105,1.1
96,1.8,1.219,1.83,1.182,1.94,0.26,6.597,0.117,1.5
106,1.6,0.554,1.6,0.548,1.55,0.29,6.742,0.103,0.7
116,2,0.75,1.98,0.741,1.88,0.32,6.809,0.101,0.7
126,1.4,0.708,1.4,0.397,1.3,0.33,6.813,0.091,0.3
136,1.1,0.236,1.09,0.358,1.09,0.31,6.843,0.081,1.3
146,1,0.288,0.99,0.493,0.99,0.32,6.905,0.083,0.7
