"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.571,4,0.58,4.01,0.12,2.627,0.045,0.5
16,9.5,0.376,9.51,0.472,9.52,0.14,2.762,0.039,0.5
26,8.4,0.536,8.39,0.503,8.37,0.13,2.834,0.051,0.3
36,6.5,2.435,6.57,2.489,6.5,0.16,3.803,0.143,2.7
46,4.6,0.541,4.58,0.531,4.53,0.23,4.592,0.052,0.5
56,3.5,1.086,3.54,0.746,3.61,0.19,4.662,0.077,0.9
66,4.3,0.469,4.31,0.539,4.31,0.22,4.742,0.08,0.7
76,3,0.952,2.97,0.988,2.96,0.23,4.883,0.079,1.3
86,2,0.475,2.02,0.389,1.96,0.23,5.003,0.074,0.7
96,1.8,1.181,1.81,1.081,1.84,0.23,5.16,0.087,1.3
106,1.6,0.445,1.61,0.504,1.54,0.25,5.257,0.069,0.1
116,2,0.63,1.99,0.862,1.97,0.27,5.351,0.097,0.7
126,1.4,0.609,1.39,0.608,1.38,0.28,5.491,0.09,0.7
136,1.1,0.292,1.1,0.262,1.1,0.27,5.461,0.091,0.1
146,1,0.677,1.02,0.907,1,0.23,5.539,0.084,0.1
