"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.45,3.98,0.43,4.01,0.1,2.669,0.042,0.1
16,9.5,0.302,9.51,0.314,9.5,0.12,2.733,0.039,0.3
26,8.4,3.072,8.42,3.079,8.38,0.17,4.107,0.135,3.1
36,6.5,11.205,7.39,9.508,7.28,0.5,10.751,0.325,4.9
46,4.6,1.512,4.6,1.471,4.4,0.57,14.383,0.175,2.1
56,3.5,0.877,3.66,1.682,3.67,0.58,14.361,0.214,1.7
66,4.3,0.588,4.29,1.378,4.24,0.79,14.456,0.19,2.5
76,3,0.661,3.04,1.135,3.23,0.75,14.612,0.218,0.9
86,2,0.335,2.06,1.179,1.98,0.61,14.607,0.226,0.7
96,1.8,0.159,1.78,0.106,1.79,0.69,14.479,0.215,0.1
106,1.6,0.504,1.61,0.223,1.44,0.59,14.418,0.244,1.1
116,2,0.241,2.03,0.873,2.18,0.68,14.335,0.187,0.5
126,1.4,1.545,1.39,1.656,1.49,0.66,14.537,0.256,1.7
136,1.1,0.351,1.15,0.774,1.19,0.64,14.613,0.258,1.3
146,1,1.58,0.84,2.268,0.92,0.81,14.729,0.282,1.3
