"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,7.928,3.97,8.104,4.14,0.38,8.418,0.271,4.9
16,9.5,1.374,9.49,1.622,9.5,0.52,11.853,0.173,0.3
26,8.4,0.525,8.37,0.967,8.37,0.37,11.977,0.177,0.9
36,6.5,6.046,7.15,5.205,7.02,0.52,13.085,0.359,4.5
46,4.6,5.538,4.08,5.317,4.03,0.59,15.068,0.344,4.5
56,3.5,1.664,3.92,2.882,3.98,0.76,15.748,0.268,0.3
66,4.3,0.16,4.31,0.562,4.44,0.73,15.498,0.255,1.9
76,3,0.628,2.97,0.727,2.85,0.62,15.44,0.256,0.1
86,2,0.258,2.04,0.967,1.98,0.73,15.487,0.22,2.1
96,1.8,0.475,1.84,0.564,1.69,0.82,15.376,0.194,0.9
106,1.6,0.362,1.61,0.726,1.63,0.79,15.383,0.268,0.7
116,2,0.549,2,0.985,1.86,0.57,15.567,0.255,1.5
126,1.4,0.452,1.36,1.083,1.28,0.73,15.493,0.193,1.5
136,1.1,0.87,1.11,1.341,1.14,0.81,15.703,0.233,2.5
146,1,3.399,0.81,3.657,0.69,0.7,15.871,0.267,3.9
