"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.32,4,0.386,3.99,0.11,2.591,0.042,0.3
16,9.5,0.222,9.5,0.296,9.51,0.13,2.639,0.047,0.5
26,8.4,1.114,8.38,1.156,8.41,0.12,2.88,0.096,1.1
36,6.5,0.725,6.49,0.725,6.47,0.14,3.183,0.072,0.5
46,4.6,0.877,4.62,0.884,4.63,0.15,3.39,0.074,1.1
56,3.5,1.633,3.45,1.572,3.45,0.18,3.879,0.106,1.5
66,4.3,0.274,4.3,0.232,4.3,0.19,4.177,0.048,0.1
76,3,0.164,3,0.265,3,0.18,4.177,0.061,0.5
86,2,0.85,2.04,0.924,2.07,0.17,4.288,0.083,1.1
96,1.8,0.327,1.78,0.533,1.84,0.2,4.437,0.068,0.9
106,1.6,1.103,1.55,0.934,1.6,0.17,4.556,0.068,0.7
116,2,0.33,2,0.264,1.99,0.16,4.664,0.068,0.1
126,1.4,0.753,1.42,0.72,1.39,0.24,4.716,0.066,0.7
136,1.1,0.303,1.09,0.306,1.11,0.18,4.77,0.078,0.1
146,1,0.535,0.97,0.403,1.01,0.2,4.801,0.075,0.7
