"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.126,3.98,1.171,3.99,0.12,2.886,0.083,1.1
16,9.5,1.154,9.54,1.056,9.55,0.13,3.284,0.07,1.1
26,8.4,9.336,8.86,8.968,8.84,0.45,9.509,0.33,4.9
36,6.5,1.091,6.51,1.311,6.64,0.54,13.14,0.171,1.3
46,4.6,1.633,4.63,1.205,4.84,0.53,13.292,0.222,1.7
56,3.5,0.733,3.53,0.379,3.72,0.55,13.43,0.192,2.3
66,4.3,0.578,4.33,0.998,4.4,0.68,13.406,0.215,1.7
76,3,0.258,2.98,0.514,3,0.61,13.476,0.196,0.7
86,2,0.272,1.98,0.717,2.03,0.65,13.492,0.213,0.5
96,1.8,0.609,1.72,1.619,1.75,0.57,13.593,0.193,2.1
106,1.6,0.18,1.62,0.588,1.56,0.68,13.686,0.178,0.7
116,2,0.663,2,0.673,1.91,0.63,13.68,0.199,1.3
126,1.4,0.622,1.3,1.344,1.23,0.61,13.838,0.177,1.9
136,1.1,0.204,1.11,0.528,1.17,0.51,13.792,0.19,0.9
146,1,0.524,0.97,0.8,1.21,0.69,13.838,0.193,1.5
