"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.78,4.03,0.898,4.02,0.13,2.713,0.061,1.1
16,9.5,1.246,9.53,1.372,9.57,0.15,3.167,0.101,1.3
26,8.4,0.403,8.42,0.34,8.42,0.11,3.468,0.049,0.1
36,6.5,1.855,6.44,1.929,6.43,0.18,3.999,0.115,1.7
46,4.6,2.435,4.48,2.317,4.49,0.24,4.995,0.158,2.5
56,3.5,5.046,3.24,5.304,3.25,0.31,7.648,0.211,4.9
66,4.3,0.722,4.39,1.356,4.5,0.44,9.256,0.154,0.3
76,3,2.138,3.23,1.252,3.24,0.37,9.185,0.115,0.3
86,2,1.261,1.99,1.678,1.87,0.44,9.442,0.137,1.5
96,1.8,0.063,1.8,0.287,1.81,0.42,9.551,0.169,0.5
106,1.6,0.367,1.59,0.68,1.67,0.34,9.529,0.139,0.5
116,2,1.219,2,0.827,1.97,0.37,9.676,0.14,0.5
126,1.4,0.184,1.4,0.084,1.38,0.44,9.659,0.111,0.3
136,1.1,0.705,1.18,0.816,1.09,0.44,9.658,0.175,0.3
146,1,0.303,0.99,0.563,0.92,0.43,9.665,0.144,1.1
