"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.114,3.93,3.179,3.92,0.18,4.112,0.111,3.1
16,9.5,2.595,9.66,2.601,9.68,0.24,5.737,0.186,2.7
26,8.4,2.949,8.44,2.506,8.41,0.23,6.838,0.224,2.5
36,6.5,1.659,6.51,1.741,6.43,0.34,7.482,0.163,2.1
46,4.6,0.959,4.6,1.253,4.54,0.36,7.702,0.108,1.1
56,3.5,0.717,3.52,0.295,3.51,0.34,7.879,0.089,0.7
66,4.3,1.284,4.28,1.814,4.3,0.35,8.074,0.15,0.7
76,3,0.847,2.99,0.601,3.05,0.42,8.302,0.118,1.3
86,2,0.323,2,0.814,1.91,0.31,8.432,0.147,1.3
96,1.8,0.196,1.79,0.062,1.77,0.39,8.396,0.124,1.3
106,1.6,0.51,1.6,0.291,1.61,0.43,8.436,0.107,0.3
116,2,0.8,2,0.856,2.05,0.31,8.508,0.173,0.5
126,1.4,0.149,1.41,0.157,1.38,0.35,8.553,0.112,1.7
136,1.1,0.223,1.09,0.521,1.14,0.38,8.504,0.112,1.5
146,1,0.164,1,0.477,1.01,0.39,8.56,0.115,0.9
