"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.182,4.04,1.221,4.04,0.11,2.823,0.091,1.1
16,9.5,2.776,9.64,2.917,9.61,0.19,4.255,0.132,2.9
26,8.4,0.298,8.41,0.243,8.44,0.24,5.148,0.076,0.5
36,6.5,7.727,6.26,7.957,6.23,0.39,9.465,0.32,4.7
46,4.6,1.689,4.51,2.534,4.49,0.59,12.636,0.207,3.5
56,3.5,4.608,4.36,2.254,4.11,0.45,13.149,0.177,1.3
66,4.3,0.686,4.32,0.696,4.29,0.66,13.163,0.198,1.1
76,3,2.803,2.84,3.497,2.87,0.61,13.559,0.322,2.1
86,2,1.755,1.98,1.817,1.91,0.74,14.246,0.203,1.7
96,1.8,0.416,1.77,0.948,1.8,0.66,14.397,0.175,0.5
106,1.6,2.572,1.49,3.131,1.51,0.64,14.747,0.275,3.7
116,2,1.293,1.98,1.509,1.87,0.8,15.203,0.239,2.3
126,1.4,0.595,1.33,1.249,1.56,0.76,15.163,0.246,0.1
136,1.1,0.303,1.04,1.073,0.99,0.66,15.332,0.179,0.7
146,1,0.18,1.02,0.826,1.01,0.64,15.328,0.244,2.5
