"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.288,4.01,0.255,4.01,0.13,2.621,0.037,0.3
16,9.5,0.915,9.53,1.015,9.51,0.11,2.822,0.072,1.1
26,8.4,2.377,8.3,2.416,8.28,0.16,3.844,0.106,2.5
36,6.5,3.294,6.46,3.533,6.42,0.27,5.749,0.171,3.5
46,4.6,2.655,4.57,2.177,4.6,0.32,7.123,0.182,2.1
56,3.5,2.28,3.42,2.873,3.4,0.37,7.944,0.242,2.5
66,4.3,0.287,4.31,0.189,4.24,0.36,8.505,0.131,0.5
76,3,0.517,3.02,0.418,2.99,0.42,8.499,0.105,0.7
86,2,0.763,2.05,0.704,2.02,0.36,8.465,0.112,0.7
96,1.8,1.232,1.81,1.343,1.82,0.43,8.437,0.138,1.1
106,1.6,0.284,1.58,0.37,1.61,0.43,8.577,0.127,1.1
116,2,0.487,2.02,0.216,2.02,0.36,8.594,0.134,0.5
126,1.4,0.878,1.41,0.484,1.39,0.35,8.606,0.096,0.3
136,1.1,0.719,1.13,0.712,1.13,0.41,8.616,0.115,0.7
146,1,0.582,0.99,0.75,0.9,0.36,8.613,0.14,0.9
