"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,2.169,4.03,2.305,4.03,0.14,3.532,0.099,2.3
16,9.5,0.267,9.52,0.25,9.54,0.18,4.227,0.065,0.7
26,8.4,1.406,8.39,1.381,8.41,0.18,4.406,0.119,1.3
36,6.5,6.443,6.59,6.189,6.55,0.37,7.714,0.255,4.9
46,4.6,0.697,4.63,0.655,4.54,0.38,9.926,0.133,1.9
56,3.5,2.899,3.37,2.745,3.39,0.39,10.301,0.205,2.7
66,4.3,0.68,4.27,0.874,4.33,0.44,10.738,0.187,1.9
76,3,0.911,3,1.256,2.89,0.47,10.981,0.143,1.5
86,2,0.745,2.03,0.864,2,0.47,10.922,0.166,1.3
96,1.8,1.061,1.79,1.446,1.82,0.47,11.148,0.176,0.1
106,1.6,1.906,1.52,1.422,1.51,0.44,11.18,0.172,1.7
116,2,0.772,2.03,0.887,1.99,0.59,11.289,0.178,1.1
126,1.4,0.33,1.38,0.9,1.46,0.57,11.33,0.189,1.1
136,1.1,0.328,1.08,0.484,1.12,0.56,11.46,0.171,0.1
146,1,0.281,0.99,0.631,1.03,0.53,11.602,0.142,0.1
