"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.587,3.95,1.623,3.97,0.12,3.075,0.097,1.7
16,9.5,0.195,9.49,0.248,9.48,0.13,3.497,0.055,0.1
26,8.4,2.12,8.39,2.148,8.41,0.19,4.072,0.138,2.1
36,6.5,1.808,6.51,1.866,6.55,0.21,4.983,0.135,1.9
46,4.6,2.057,4.55,2.175,4.59,0.19,5.706,0.158,2.5
56,3.5,0.605,3.51,0.631,3.53,0.26,6.117,0.093,0.3
66,4.3,0.488,4.31,0.237,4.32,0.31,6.159,0.085,0.9
76,3,0.19,3,0.099,3.03,0.28,6.221,0.129,1.3
86,2,0.282,1.99,0.281,1.93,0.23,6.207,0.084,0.1
96,1.8,0.204,1.81,0.074,1.83,0.28,6.189,0.126,0.5
106,1.6,0.173,1.59,0.261,1.6,0.28,6.221,0.084,0.1
116,2,0.934,1.95,1.12,1.97,0.29,6.342,0.109,0.9
126,1.4,1.204,1.44,1.269,1.48,0.26,6.545,0.109,0.9
136,1.1,0.872,1.08,0.795,1.08,0.32,6.755,0.128,0.5
146,1,0.488,0.99,0.407,0.96,0.35,6.758,0.099,0.1
