"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,2.148,4.04,2.271,4.01,0.18,3.409,0.115,2.3
16,9.5,3.66,9.46,3.786,9.48,0.2,5.566,0.177,3.7
26,8.4,1.217,8.42,1.253,8.39,0.36,6.916,0.105,1.1
36,6.5,2.012,6.47,2.37,6.52,0.26,7.364,0.194,2.1
46,4.6,2.363,4.66,1.943,4.64,0.32,8.014,0.146,2.5
56,3.5,0.942,3.46,0.736,3.46,0.33,8.235,0.151,1.3
66,4.3,0.33,4.32,0.037,4.22,0.39,8.249,0.122,0.5
76,3,0.573,3,0.726,3.01,0.33,8.299,0.135,0.7
86,2,0.409,1.99,0.491,1.94,0.36,8.323,0.149,0.3
96,1.8,0.557,1.82,0.735,1.87,0.38,8.323,0.126,0.5
106,1.6,0.517,1.61,0.733,1.58,0.35,8.353,0.11,1.3
116,2,0.585,2.01,1.079,1.99,0.4,8.491,0.133,0.7
126,1.4,1.209,1.41,1.098,1.38,0.34,8.685,0.148,1.3
136,1.1,0.258,1.1,0.529,1.07,0.41,8.717,0.13,0.5
146,1,0.612,0.92,1.397,0.9,0.39,8.846,0.109,0.7
