"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.407,4.02,0.372,4.02,0.12,2.545,0.046,0.3
16,9.5,0.144,9.5,0.185,9.51,0.13,2.578,0.041,0.1
26,8.4,2.225,8.19,2.207,8.19,0.15,3.389,0.105,2.3
36,6.5,2.514,6.59,2.391,6.58,0.22,4.66,0.138,2.5
46,4.6,1.095,4.62,1.149,4.6,0.25,5.347,0.108,1.3
56,3.5,0.859,3.49,0.984,3.5,0.31,5.635,0.107,1.1
66,4.3,0.109,4.3,0.142,4.24,0.28,5.667,0.078,0.3
76,3,0.273,3.01,0.45,2.99,0.35,5.714,0.084,0.1
86,2,0.425,2.04,0.485,2.01,0.25,5.762,0.09,0.1
96,1.8,3.232,1.9,2.939,1.89,0.33,6.448,0.197,3.1
106,1.6,0.219,1.6,0.28,1.6,0.3,7.176,0.105,0.9
116,2,0.399,2,0.147,1.96,0.26,7.171,0.101,0.3
126,1.4,0.303,1.39,0.12,1.46,0.3,7.156,0.117,0.7
136,1.1,0.529,1.13,0.684,1.11,0.32,7.121,0.102,0.9
146,1,0.354,1.01,0.295,0.96,0.29,7.168,0.114,0.7
