"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.982,4.05,4.987,3.97,0.24,5.604,0.165,4.9
16,9.5,0.688,9.51,0.46,9.46,0.35,7.593,0.113,0.5
26,8.4,11.205,8.84,10.819,8.76,0.55,13.259,0.373,4.9
36,6.5,1.334,6.56,2.474,6.55,0.76,17.214,0.242,1.5
46,4.6,0.932,4.64,1.307,4.52,0.78,17.405,0.257,1.9
56,3.5,1.074,3.57,1.809,3.63,0.83,17.192,0.222,1.5
66,4.3,0.204,4.33,0.516,4.16,0.75,17.151,0.219,0.5
76,3,0.872,3.1,1.154,3.19,0.81,17.108,0.25,0.9
86,2,0.476,2.01,1.027,1.91,0.78,16.938,0.231,1.3
96,1.8,0.872,1.64,1.923,1.47,0.7,17.191,0.229,1.9
106,1.6,1.351,1.25,2.999,1.25,0.65,17.445,0.305,2.5
116,2,0.296,2.04,0.828,1.92,0.89,17.714,0.225,0.3
126,1.4,1.005,1.53,1.603,1.46,0.83,17.637,0.273,0.3
136,1.1,1.027,1.28,1.077,1.31,0.8,17.59,0.217,0.5
146,1,0.632,0.96,1.625,0.97,0.82,17.526,0.323,2.9
