"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.236,4,1.311,3.97,0.11,2.863,0.091,1.3
16,9.5,0.541,9.5,0.547,9.49,0.14,3.225,0.039,0.3
26,8.4,1.817,8.35,1.899,8.35,0.16,3.752,0.103,1.9
36,6.5,3.174,6.57,3.015,6.59,0.21,5.169,0.142,2.9
46,4.6,2.669,4.66,2.559,4.69,0.3,6.514,0.151,2.5
56,3.5,2.655,3.59,2.705,3.59,0.34,7.539,0.194,2.9
66,4.3,0.539,4.29,0.666,4.28,0.38,7.992,0.122,0.1
76,3,0.174,3,0.342,2.95,0.39,8.017,0.115,1.1
86,2,0.678,2.02,0.686,2.01,0.37,8.045,0.133,0.7
96,1.8,1.243,1.74,1.393,1.73,0.38,8.201,0.132,1.5
106,1.6,0.63,1.59,0.114,1.64,0.36,8.377,0.12,0.9
116,2,1.877,1.92,1.998,1.92,0.37,8.64,0.174,1.7
126,1.4,0.421,1.41,0.576,1.41,0.45,8.838,0.122,0.3
136,1.1,0.819,1.13,0.118,1.19,0.4,8.862,0.12,1.1
146,1,0.669,1.02,0.208,0.92,0.44,8.852,0.138,0.7
