"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.502,4.04,0.519,4.05,0.11,2.573,0.039,0.3
16,9.5,0.096,9.49,0.124,9.47,0.13,2.617,0.043,0.3
26,8.4,3.502,8.44,3.38,8.39,0.2,4.299,0.145,3.5
36,6.5,2.231,6.53,2.264,6.55,0.24,5.956,0.162,2.3
46,4.6,0.484,4.62,0.298,4.58,0.29,6.385,0.114,0.1
56,3.5,0.992,3.46,1.114,3.49,0.34,6.424,0.112,1.3
66,4.3,0.668,4.26,0.59,4.19,0.28,6.535,0.082,0.3
76,3,0.748,3,1.019,2.98,0.33,6.671,0.116,0.5
86,2,0.803,2,0.769,1.97,0.37,6.764,0.103,0.5
96,1.8,3.419,2.05,3.355,2.04,0.4,7.605,0.229,3.7
106,1.6,0.52,1.63,0.315,1.55,0.38,8.302,0.111,1.1
116,2,0.16,2,0.228,2.05,0.37,8.343,0.12,0.3
126,1.4,0.8,1.39,0.641,1.41,0.38,8.408,0.13,1.1
136,1.1,0.539,1.12,0.764,1.17,0.32,8.414,0.137,1.1
146,1,0.789,1.05,0.456,1.07,0.39,8.439,0.097,0.9
