"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.563,3.99,0.541,3.97,0.11,2.533,0.047,0.5
16,9.5,1.279,9.48,1.323,9.45,0.15,2.894,0.095,1.3
26,8.4,1.271,8.42,1.311,8.39,0.15,3.445,0.095,1.1
36,6.5,0.521,6.49,0.702,6.47,0.15,3.75,0.064,0.7
46,4.6,1.304,4.65,1.322,4.64,0.18,4.049,0.101,1.1
56,3.5,2.949,3.44,2.91,3.48,0.21,5.156,0.163,2.9
66,4.3,0.291,4.3,0.329,4.28,0.3,5.921,0.1,0.1
76,3,0.283,3.01,0.4,3.02,0.27,5.935,0.101,0.9
86,2,0.614,1.99,0.649,1.96,0.29,5.962,0.096,0.7
96,1.8,0.099,1.8,0.127,1.79,0.28,6.019,0.08,0.3
106,1.6,1.232,1.61,0.902,1.61,0.31,6.078,0.074,1.3
116,2,0.2,2,0.345,2.1,0.32,6.169,0.108,1.1
126,1.4,0.721,1.46,0.402,1.48,0.29,6.137,0.094,0.5
136,1.1,0.504,1.12,0.52,1.09,0.25,6.188,0.08,0.3
146,1,0.351,1,0.603,1,0.26,6.223,0.091,0.7
