"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,2.595,4,2.611,3.99,0.18,3.687,0.123,2.5
16,9.5,1.773,9.42,1.924,9.47,0.2,4.858,0.121,1.7
26,8.4,3.164,8.45,3.183,8.44,0.26,6.17,0.206,3.1
36,6.5,1.205,6.49,1.358,6.43,0.32,7.061,0.099,1.3
46,4.6,0.739,4.64,0.872,4.6,0.32,7.262,0.114,1.1
56,3.5,2.583,3.41,2.301,3.51,0.33,7.636,0.171,2.3
66,4.3,0.152,4.31,0.097,4.28,0.32,7.971,0.137,0.7
76,3,0.419,2.96,0.783,2.86,0.29,8.041,0.097,0.5
86,2,0.778,2.05,0.731,2.12,0.32,8.144,0.124,0.7
96,1.8,0.284,1.81,0.284,1.86,0.41,8.119,0.114,0.3
106,1.6,0.543,1.59,0.545,1.56,0.32,8.102,0.134,0.5
116,2,0.088,2,0.069,2.03,0.41,8.21,0.114,0.1
126,1.4,1.371,1.45,1.337,1.35,0.35,8.204,0.115,1.5
136,1.1,0.409,1.09,0.222,1.05,0.43,8.296,0.126,1.1
146,1,1.317,0.97,1.331,0.93,0.38,8.44,0.191,0.5
