"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.198,4,0.167,4,0.14,2.728,0.033,0.1
16,9.5,8.059,9.19,8.424,9.26,0.44,8.788,0.281,4.9
26,8.4,0.525,8.45,1.258,8.53,0.58,12.157,0.146,0.1
36,6.5,0.742,6.36,1.854,6.37,0.58,12.155,0.227,1.3
46,4.6,1.025,4.7,1.437,4.81,0.56,12.202,0.204,0.5
56,3.5,1.191,3.41,1.802,3.34,0.48,12.314,0.187,0.5
66,4.3,0.213,4.3,0.323,4.29,0.6,12.572,0.191,0.7
76,3,0.763,3.08,0.534,3.05,0.63,12.596,0.162,0.9
86,2,3.061,2.29,2.219,2.27,0.4,12.231,0.173,0.3
96,1.8,0.165,1.8,0.503,1.95,0.53,12.08,0.167,0.3
106,1.6,0.136,1.59,0.134,1.72,0.53,12.182,0.163,0.5
116,2,0.184,2.01,0.676,1.95,0.61,12.182,0.176,0.5
126,1.4,2.572,1.38,3.109,1.24,0.54,12.439,0.243,2.7
136,1.1,0.176,1.1,0.255,1.04,0.57,12.831,0.165,0.5
146,1,0.354,1.02,0.343,1.02,0.56,12.893,0.161,1.1
