"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.182,3.99,1.263,3.99,0.13,2.875,0.091,1.3
16,9.5,1.958,9.49,1.993,9.52,0.16,3.736,0.103,1.9
26,8.4,2.057,8.35,2.188,8.35,0.22,4.756,0.151,2.1
36,6.5,1.496,6.47,1.338,6.45,0.23,5.423,0.115,1.1
46,4.6,6.046,4.41,6.306,4.39,0.37,8.381,0.252,4.9
56,3.5,2.278,3.59,2.264,3.64,0.49,10.694,0.198,2.9
66,4.3,0.386,4.28,0.6,4.28,0.52,10.988,0.171,1.7
76,3,0.254,2.98,0.219,2.94,0.53,11.023,0.182,1.1
86,2,0.062,2,0.15,1.92,0.49,11.009,0.177,0.9
96,1.8,1.263,1.88,0.875,1.9,0.53,10.976,0.137,1.1
106,1.6,0.911,1.62,0.631,1.61,0.46,11.153,0.165,1.3
116,2,0.415,1.97,0.592,2.1,0.47,10.927,0.166,1.1
126,1.4,0.81,1.46,0.745,1.32,0.42,11.027,0.169,1.3
136,1.1,0.241,1.11,0.474,1.12,0.56,11.043,0.14,0.7
146,1,0.866,1.03,0.524,1.19,0.49,11.032,0.177,0.7
