"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,6.313,4.27,6.439,4.22,0.4,7.04,0.213,4.9
16,9.5,2.283,9.47,2.26,9.58,0.38,9.713,0.163,1.3
26,8.4,1.591,8.39,0.539,8.46,0.46,9.963,0.118,0.5
36,6.5,0.487,6.5,0.555,6.49,0.44,9.941,0.136,0.3
46,4.6,0.92,4.56,0.64,4.55,0.5,10.009,0.148,0.5
56,3.5,0.933,3.46,1.238,3.53,0.57,10.047,0.185,1.7
66,4.3,0.184,4.3,0.606,4.2,0.47,10.148,0.162,0.5
76,3,0.719,2.99,0.91,2.94,0.48,10.154,0.133,1.9
86,2,0.87,2.07,0.812,2.08,0.49,10.3,0.145,0.9
96,1.8,0.545,1.83,0.211,1.85,0.45,10.142,0.164,1.3
106,1.6,0.175,1.59,0.286,1.56,0.43,10.205,0.165,0.7
116,2,0.8,2.01,0.598,2.02,0.48,10.114,0.129,0.5
126,1.4,0.937,1.3,1.814,1.26,0.5,10.325,0.177,1.7
136,1.1,0.199,1.1,0.394,1.05,0.48,10.519,0.151,0.1
146,1,1.032,0.96,1.745,1.05,0.53,10.77,0.186,0.1
