"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.724,3.99,0.773,4.01,0.11,2.702,0.064,0.7
16,9.5,1.439,9.54,1.332,9.56,0.13,3.107,0.082,1.3
26,8.4,1.733,8.34,1.788,8.34,0.13,3.828,0.114,1.9
36,6.5,0.203,6.5,0.169,6.52,0.22,4.2,0.072,0.3
46,4.6,3.364,4.62,3.213,4.67,0.26,5.302,0.171,3.3
56,3.5,0.907,3.47,0.717,3.46,0.27,6.246,0.089,0.1
66,4.3,0.391,4.3,0.329,4.27,0.28,6.318,0.092,0.5
76,3,1.263,3.01,1.016,3.01,0.35,6.381,0.108,1.3
86,2,0.226,2.01,0.103,2.01,0.26,6.471,0.093,0.7
96,1.8,1.566,1.78,1.491,1.77,0.32,6.716,0.144,0.9
106,1.6,0.231,1.61,0.304,1.6,0.33,6.787,0.109,0.1
116,2,0.116,1.99,0.141,2.05,0.31,6.781,0.097,1.1
126,1.4,0.688,1.41,0.455,1.38,0.24,6.888,0.1,0.7
136,1.1,0.852,1.16,0.671,1.15,0.27,6.814,0.102,0.1
146,1,1.181,1.02,1.112,0.97,0.29,7.01,0.094,1.1
