"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.938,4.05,0.91,4.03,0.11,2.645,0.064,0.9
16,9.5,4.994,9.53,5.147,9.51,0.25,5.835,0.19,4.9
26,8.4,16.69,11.07,15.725,11.22,0.81,17.61,0.542,4.7
36,6.5,0.295,6.31,1.9,6.23,1.07,23.669,0.402,2.7
46,4.6,1.401,4.86,2.508,4.99,1.27,23.371,0.378,1.3
56,3.5,2.284,3.64,2.779,3.89,1,23.485,0.26,0.3
66,4.3,0.719,4.38,1.784,4.27,1.11,23.852,0.387,2.1
76,3,0.294,3.16,1.863,3.15,0.93,23.553,0.386,2.5
86,2,1.064,1.84,1.764,2.06,1.16,23.465,0.417,3.9
96,1.8,0.42,1.71,1.447,1.89,1.21,23.711,0.335,1.3
106,1.6,0.326,1.71,1.974,1.61,1.21,23.646,0.45,0.1
116,2,2.697,2.17,1.111,2.06,1.07,23.539,0.301,1.7
126,1.4,0.297,1.32,1.596,1.45,0.79,23.504,0.34,3.1
136,1.1,0.416,1.01,1.515,0.94,1.32,23.554,0.31,2.3
146,1,0.076,1.03,0.869,1.14,1.16,23.609,0.307,0.7
