"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.934,4.05,1.836,4.08,0.16,3.174,0.1,1.9
16,9.5,1.194,9.54,1.138,9.56,0.14,3.864,0.099,0.9
26,8.4,1.259,8.43,1.456,8.44,0.19,4.277,0.117,1.5
36,6.5,0.933,6.48,1.051,6.44,0.22,4.646,0.085,0.9
46,4.6,2.949,4.73,2.771,4.72,0.21,5.545,0.163,2.7
56,3.5,6.464,3.41,6.481,3.49,0.33,8.975,0.238,4.9
66,4.3,0.409,4.25,0.88,4.41,0.36,11.072,0.137,1.1
76,3,0.518,3.06,0.897,3,0.51,11.115,0.204,0.5
86,2,0.599,1.97,0.988,1.93,0.49,11.055,0.199,0.3
96,1.8,0.34,1.78,0.882,1.9,0.61,11.201,0.175,0.1
106,1.6,0.763,1.53,1.465,1.54,0.56,11.308,0.157,1.7
116,2,0.152,2,0.252,2.05,0.5,11.316,0.197,1.1
126,1.4,0.63,1.42,0.424,1.44,0.51,11.381,0.234,0.9
136,1.1,0.18,1.11,0.357,1.02,0.47,11.249,0.178,0.9
146,1,0.847,0.86,1.787,0.83,0.41,11.525,0.147,0.1
