"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.909,4.01,0.962,4,0.14,2.778,0.072,0.9
16,9.5,0.378,9.5,0.481,9.5,0.14,2.957,0.051,0.3
26,8.4,6.924,8.83,6.927,8.79,0.3,7.527,0.227,4.9
36,6.5,3.364,6.31,3.544,6.26,0.52,10.793,0.3,2.9
46,4.6,1.241,4.68,0.52,4.78,0.42,11.474,0.193,1.1
56,3.5,1.165,3.53,0.742,3.49,0.53,11.498,0.172,1.7
66,4.3,0.578,4.4,1.091,4.53,0.64,11.434,0.141,1.1
76,3,0.97,3.08,1.02,3.16,0.49,11.493,0.183,0.3
86,2,0.497,2.03,0.109,2.07,0.58,11.426,0.172,1.3
96,1.8,2.701,1.88,1.694,1.98,0.45,11.576,0.189,3.3
106,1.6,0.476,1.61,0.515,1.61,0.46,11.735,0.143,1.7
116,2,1.005,2.01,1.42,2.05,0.52,11.793,0.177,1.7
126,1.4,0.622,1.41,0.994,1.48,0.53,11.815,0.179,0.5
136,1.1,0.529,1.14,0.652,1.17,0.48,11.752,0.165,0.1
146,1,0.852,1.06,1.144,1.1,0.55,11.843,0.196,0.7
