"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.154,4.04,1.093,4.05,0.12,2.837,0.083,1.1
16,9.5,3.205,9.66,3.128,9.58,0.22,4.388,0.111,3.1
26,8.4,1.569,8.31,1.542,8.37,0.24,5.577,0.112,1.5
36,6.5,4.116,6.22,4.438,6.25,0.33,7.274,0.198,4.5
46,4.6,2.073,4.62,1.891,4.64,0.38,8.76,0.184,0.9
56,3.5,6.924,3.51,6.943,3.5,0.52,11.308,0.368,4.9
66,4.3,0.218,4.3,0.289,4.37,0.58,13.267,0.217,2.5
76,3,0.789,3.12,1.44,3.05,0.53,13.156,0.208,1.5
86,2,0.582,1.96,1.306,1.99,0.56,13.169,0.185,0.7
96,1.8,0.79,1.68,1.694,1.77,0.57,13.415,0.228,2.7
106,1.6,1.877,1.64,1.682,1.47,0.57,13.562,0.186,1.5
116,2,0.228,1.99,0.72,2.11,0.63,13.736,0.238,1.7
126,1.4,0.31,1.38,0.127,1.45,0.56,13.595,0.203,1.1
136,1.1,0.765,1.04,1.571,1.14,0.7,13.849,0.214,2.1
146,1,0.362,1.01,0.44,1.04,0.56,13.906,0.174,0.9
