"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.222,4.01,0.257,4,0.11,2.506,0.04,0.3
16,9.5,0.476,9.51,0.47,9.5,0.13,2.577,0.036,0.5
26,8.4,0.937,8.4,0.978,8.41,0.11,2.786,0.074,1.1
36,6.5,1.664,6.45,1.801,6.48,0.2,3.471,0.117,1.7
46,4.6,0.692,4.58,0.58,4.57,0.17,3.961,0.059,0.1
56,3.5,0.497,3.51,0.557,3.51,0.2,3.985,0.062,0.3
66,4.3,0.245,4.31,0.307,4.3,0.17,4.039,0.062,0.3
76,3,1.411,2.95,1.455,2.94,0.16,4.329,0.123,1.5
86,2,0.384,2,0.254,1.98,0.22,4.532,0.055,0.3
96,1.8,0.091,1.8,0.158,1.79,0.23,4.547,0.061,0.7
106,1.6,0.149,1.59,0.096,1.57,0.16,4.548,0.067,0.7
116,2,0.872,1.99,1.066,2,0.22,4.678,0.099,1.1
126,1.4,0.476,1.41,0.032,1.44,0.24,4.803,0.083,0.1
136,1.1,0.224,1.11,0.236,1.08,0.22,4.781,0.089,0.3
146,1,0.63,1,0.849,0.98,0.22,4.856,0.071,0.3
