"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.848,3.99,0.761,4,0.11,2.668,0.057,0.7
16,9.5,0.458,9.5,0.334,9.52,0.13,2.783,0.042,0.3
26,8.4,2.655,8.51,2.599,8.5,0.16,3.845,0.127,2.5
36,6.5,0.549,6.51,0.426,6.52,0.19,4.648,0.063,0.7
46,4.6,1.57,4.55,1.727,4.57,0.22,4.971,0.118,1.5
56,3.5,3.541,3.53,3.837,3.56,0.31,6.484,0.189,3.7
66,4.3,2.239,4.16,3.081,4.24,0.36,8.191,0.263,2.5
76,3,0.289,2.99,0.775,2.91,0.37,8.761,0.132,0.9
86,2,0.341,1.98,0.97,2.04,0.36,8.864,0.142,0.5
96,1.8,0.342,1.78,0.531,1.8,0.46,8.916,0.13,0.7
106,1.6,1.219,1.76,1.359,1.72,0.38,8.894,0.143,1.3
116,2,0.495,1.99,1.067,2.05,0.37,8.816,0.139,1.3
126,1.4,0.79,1.38,1.026,1.35,0.47,8.863,0.129,1.1
136,1.1,0.425,1.1,0.444,1.12,0.38,8.996,0.112,0.9
146,1,0.343,1.03,0.653,1.03,0.28,8.926,0.129,0.1
