"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.244,4,0.237,4,0.12,2.726,0.043,0.3
16,9.5,4.7,9.34,4.768,9.32,0.29,5.55,0.172,4.9
26,8.4,0.778,8.41,0.861,8.41,0.4,7.358,0.107,0.9
36,6.5,1.94,6.58,1.307,6.58,0.33,7.502,0.123,0.5
46,4.6,0.856,4.57,0.552,4.57,0.39,7.642,0.107,1.1
56,3.5,1.869,3.53,1.847,3.5,0.34,7.954,0.155,1.9
66,4.3,0.521,4.29,0.839,4.39,0.3,8.065,0.115,1.7
76,3,0.076,3,0.148,3,0.38,8.135,0.123,1.1
86,2,0.297,2,0.361,2.07,0.35,8.172,0.119,0.1
96,1.8,0.313,1.8,0.327,1.8,0.39,8.121,0.126,1.3
106,1.6,0.18,1.61,0.178,1.63,0.4,8.162,0.13,1.7
116,2,0.079,2,0.307,1.99,0.31,8.129,0.114,0.5
126,1.4,0.272,1.39,0.411,1.42,0.39,8.176,0.134,1.5
136,1.1,0.225,1.1,0.403,1.12,0.31,8.158,0.127,0.1
146,1,0.612,0.99,0.748,0.99,0.38,8.189,0.12,0.5
