"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.198,4.01,0.205,4.01,0.11,2.579,0.032,0.3
16,9.5,2.028,9.54,2.063,9.56,0.13,3.326,0.119,2.1
26,8.4,1.954,8.46,1.898,8.42,0.16,4.321,0.122,1.7
36,6.5,0.295,6.5,0.36,6.48,0.15,4.759,0.066,0.3
46,4.6,1.271,4.54,1.295,4.5,0.21,4.931,0.116,1.3
56,3.5,0.68,3.49,0.648,3.48,0.2,5.164,0.081,0.3
66,4.3,0.686,4.3,0.782,4.31,0.27,5.25,0.069,0.5
76,3,0.202,3.01,0.241,3.04,0.24,5.301,0.077,0.7
86,2,0.33,2,0.256,1.95,0.23,5.295,0.064,0.1
96,1.8,0.379,1.8,0.306,1.83,0.22,5.359,0.082,0.3
106,1.6,0.529,1.61,0.745,1.57,0.22,5.374,0.094,0.1
116,2,0.663,2,0.607,1.96,0.22,5.446,0.066,0.5
126,1.4,1.68,1.37,1.649,1.42,0.26,5.767,0.102,1.7
136,1.1,0.281,1.12,0.416,1.11,0.24,5.953,0.086,0.3
146,1,0.724,0.96,0.657,0.99,0.26,5.97,0.098,0.3
