"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.378,4,0.394,4.02,0.12,2.572,0.032,0.3
16,9.5,1.154,9.52,1.156,9.51,0.11,2.815,0.088,1.1
26,8.4,1.35,8.38,1.247,8.35,0.14,3.306,0.089,1.3
36,6.5,7.224,6.13,7.177,6.09,0.33,8.01,0.209,4.9
46,4.6,2.436,4.7,2.863,4.74,0.49,11.102,0.246,3.5
56,3.5,0.974,3.4,1.513,3.45,0.52,11.577,0.185,2.3
66,4.3,0.178,4.31,0.396,4.34,0.46,11.795,0.179,0.1
76,3,0.476,3.05,0.828,3.1,0.48,11.669,0.164,0.1
86,2,0.622,2.03,0.5,2.11,0.56,11.603,0.164,1.5
96,1.8,0.48,1.81,0.607,1.96,0.63,11.564,0.194,0.5
106,1.6,0.63,1.51,1.617,1.5,0.47,11.699,0.184,0.1
116,2,0.088,2.01,0.555,1.96,0.52,11.757,0.192,2.3
126,1.4,0.655,1.52,1.185,1.45,0.51,11.545,0.193,1.9
136,1.1,0.823,1.02,1.56,0.98,0.49,11.695,0.199,2.3
146,1,1.478,1.02,1.488,0.97,0.53,11.941,0.165,2.3
