"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.495,4.06,1.501,4.05,0.12,3.012,0.094,1.5
16,9.5,0.287,9.5,0.267,9.5,0.15,3.38,0.044,0.1
26,8.4,1.612,8.41,1.626,8.44,0.15,3.78,0.098,1.5
36,6.5,2.057,6.54,2.22,6.52,0.22,4.642,0.131,2.3
46,4.6,3.114,4.58,3.045,4.55,0.24,5.999,0.184,3.1
56,3.5,0.336,3.49,0.405,3.55,0.32,6.719,0.095,1.5
66,4.3,0.445,4.29,0.621,4.33,0.33,6.784,0.106,0.3
76,3,0.639,3.01,0.109,3.01,0.29,6.79,0.1,0.7
86,2,0.652,2.02,0.641,2.11,0.35,6.823,0.105,0.3
96,1.8,0.535,1.84,0.077,1.85,0.28,6.83,0.102,0.5
106,1.6,0.27,1.6,0.123,1.55,0.33,6.881,0.108,0.9
116,2,0.841,2,1.02,1.95,0.3,6.967,0.111,0.5
126,1.4,0.656,1.37,0.455,1.42,0.34,7.097,0.134,1.1
136,1.1,0.4,1.11,0.118,1.13,0.28,6.995,0.11,1.3
146,1,0.322,1.01,0.405,0.94,0.29,7.038,0.091,0.1
