"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,2.27,3.92,2.104,3.89,0.18,3.367,0.112,2.1
16,9.5,0.754,9.51,0.791,9.51,0.2,4.023,0.07,0.5
26,8.4,6.046,8.31,6.361,8.32,0.31,7.532,0.196,4.9
36,6.5,2.151,6.54,2.245,6.53,0.37,10.166,0.22,0.9
46,4.6,2.944,4.83,2.24,4.81,0.47,10.66,0.193,2.7
56,3.5,1.857,3.54,0.298,3.46,0.51,10.785,0.151,0.3
66,4.3,0.274,4.29,0.842,4.25,0.56,10.853,0.186,0.9
76,3,3.061,2.85,3.036,2.76,0.48,11.332,0.293,2.9
86,2,0.553,2.02,0.406,1.97,0.52,11.649,0.176,1.1
96,1.8,0.759,1.8,0.338,1.8,0.51,11.795,0.179,1.7
106,1.6,0.508,1.59,0.665,1.73,0.47,11.696,0.153,0.3
116,2,0.489,2.03,0.988,2.1,0.44,11.578,0.19,0.7
126,1.4,3.301,1.53,2.871,1.58,0.49,12.036,0.264,2.5
136,1.1,0.858,1.04,1.631,1.08,0.55,12.466,0.235,1.3
146,1,0.68,1.07,1.486,1.03,0.56,12.473,0.188,0.5
