"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.341,4,0.33,4.01,0.12,2.707,0.04,0.3
16,9.5,1.066,9.53,1.103,9.52,0.13,2.965,0.095,1.1
26,8.4,11.354,8.61,10.74,8.61,0.49,11.202,0.364,4.9
36,6.5,0.932,6.58,0.898,6.63,0.7,15.554,0.198,0.7
46,4.6,1.14,4.75,2.007,4.73,0.67,15.253,0.213,0.1
56,3.5,6.018,3.32,6.379,3.23,0.79,16.537,0.541,4.7
66,4.3,0.99,4.37,0.279,4.4,0.75,17.616,0.248,2.7
76,3,0.05,3,0.229,3.07,0.72,17.698,0.262,1.7
86,2,0.405,2.03,0.969,2.13,0.77,17.733,0.275,1.5
96,1.8,0.384,1.81,0.324,1.69,0.76,17.62,0.238,3.1
106,1.6,0.35,1.59,0.557,1.56,0.77,17.607,0.238,2.1
116,2,0.528,2.06,1.383,2.15,0.79,17.713,0.233,1.1
126,1.4,0.571,1.43,0.693,1.42,0.78,17.523,0.249,0.5
136,1.1,0.469,1.03,1.421,1.09,0.77,17.697,0.214,2.3
146,1,2.803,0.14,5.01,0.02,0.77,18.215,0.419,4.7
