"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.276,4,0.313,3.97,0.12,2.656,0.035,0.3
16,9.5,0.26,9.5,0.368,9.48,0.12,2.663,0.043,0.5
26,8.4,2.928,8.35,3.056,8.32,0.18,4.062,0.14,3.1
36,6.5,2.221,6.52,2.196,6.52,0.23,5.553,0.125,2.3
46,4.6,11.452,5.33,10.637,5.25,0.56,12.289,0.388,4.9
56,3.5,2.126,3.63,2.267,3.74,0.78,16.258,0.247,0.5
66,4.3,0.677,4.26,1.676,4.18,0.78,16.646,0.25,0.3
76,3,0.845,2.81,2.253,2.85,0.77,16.926,0.261,0.9
86,2,0.174,2.04,1.009,2.14,0.85,17.107,0.218,0.5
96,1.8,1.567,1.82,1.062,1.89,0.6,16.863,0.203,0.9
106,1.6,2.138,1.84,1.18,1.76,0.64,16.935,0.268,0.5
116,2,0.858,2.09,0.745,2.14,0.81,16.651,0.225,1.5
126,1.4,2.697,1.56,1.033,1.73,0.74,16.819,0.235,1.7
136,1.1,0.309,1.11,0.764,1.18,0.82,16.932,0.263,1.1
146,1,0.33,1.05,0.638,1.05,0.74,16.809,0.273,0.9
