"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.853,3.99,0.811,4.01,0.11,2.686,0.073,0.7
16,9.5,1.186,9.49,1.163,9.51,0.14,3.067,0.086,1.3
26,8.4,1.365,8.37,1.538,8.38,0.19,3.625,0.115,1.7
36,6.5,1.678,6.51,1.61,6.49,0.18,4.238,0.121,1.7
46,4.6,2.312,4.64,2.428,4.66,0.25,5.13,0.151,2.5
56,3.5,2.791,3.39,2.782,3.41,0.25,6.343,0.196,3.1
66,4.3,0.445,4.29,0.611,4.22,0.29,6.936,0.106,0.5
76,3,0.688,3,0.81,3.07,0.34,7.01,0.106,0.5
86,2,1.243,2.04,1.543,2.01,0.29,7.212,0.16,1.3
96,1.8,0.256,1.79,0.411,1.86,0.28,7.438,0.116,0.1
106,1.6,0.402,1.62,0.384,1.56,0.31,7.427,0.1,0.3
116,2,1.101,2.03,0.742,2.02,0.32,7.46,0.149,0.7
126,1.4,0.607,1.42,0.876,1.43,0.39,7.586,0.112,0.7
136,1.1,0.507,1.07,0.836,1.1,0.34,7.646,0.14,0.9
146,1,0.442,1.02,0.713,0.94,0.41,7.731,0.096,1.1
