"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.355,4.11,3.388,4.12,0.21,4.24,0.156,3.3
16,9.5,4.321,9.43,4.577,9.46,0.33,7.077,0.246,4.9
26,8.4,0.38,8.39,0.178,8.36,0.31,8.421,0.11,0.3
36,6.5,2.845,6.49,2.477,6.45,0.34,8.817,0.19,2.3
46,4.6,2.482,4.27,3.422,4.22,0.39,9.821,0.256,3.3
56,3.5,9.693,4.64,7.366,4.66,0.55,12.693,0.423,4.9
66,4.3,0.131,4.3,0.344,4.27,0.72,14.737,0.203,0.5
76,3,0.75,3.09,1.306,3.19,0.69,14.671,0.233,1.1
86,2,0.524,1.97,1.059,1.89,0.61,14.524,0.172,2.7
96,1.8,2.913,1.91,1.219,2.15,0.67,14.699,0.208,3.3
106,1.6,0.382,1.62,0.56,1.6,0.67,14.748,0.192,1.3
116,2,1.005,2,0.507,2.02,0.66,14.716,0.205,0.5
126,1.4,0.272,1.4,0.697,1.43,0.57,14.626,0.218,0.5
136,1.1,1.443,1.21,1.534,1.15,0.71,14.603,0.222,0.7
146,1,2.61,1.27,2.013,1.21,0.61,14.582,0.218,3.3
