"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.063,4.03,0.942,4.04,0.13,2.723,0.081,0.9
16,9.5,1.118,9.5,1.154,9.47,0.11,3.123,0.091,1.1
26,8.4,7.358,8.65,7.352,8.72,0.34,8.028,0.26,4.9
36,6.5,0.284,6.49,0.419,6.45,0.49,10.959,0.153,0.9
46,4.6,1.496,4.61,1.22,4.6,0.41,10.985,0.203,0.7
56,3.5,2.949,3.41,3.524,3.55,0.5,11.577,0.271,3.9
66,4.3,0.296,4.31,0.735,4.36,0.59,12.179,0.167,1.5
76,3,0.845,2.91,1.427,2.86,0.49,12.186,0.212,2.1
86,2,0.763,2.05,0.898,2.09,0.58,12.362,0.165,1.3
96,1.8,0.587,1.77,0.631,1.82,0.55,12.21,0.16,1.7
106,1.6,0.242,1.58,0.634,1.5,0.64,12.323,0.192,0.9
116,2,1.243,2.05,0.354,2.04,0.57,12.255,0.168,1.5
126,1.4,0.317,1.41,0.381,1.43,0.5,12.217,0.178,0.7
136,1.1,0.8,1.08,0.742,1.04,0.55,12.127,0.196,0.9
146,1,0.253,0.94,1.182,0.9,0.49,12.292,0.182,1.9
