"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.201,4,0.247,4.02,0.13,2.638,0.038,0.5
16,9.5,2.616,9.41,2.688,9.42,0.16,3.757,0.126,2.7
26,8.4,6.046,8.29,6.051,8.23,0.36,7.679,0.285,4.9
36,6.5,3.072,6.21,3.789,6.18,0.43,10.494,0.349,4.1
46,4.6,0.891,4.6,1.156,4.54,0.41,11.202,0.156,1.5
56,3.5,0.541,3.5,0.662,3.58,0.45,11.29,0.17,0.7
66,4.3,0.628,4.2,1.568,3.98,0.52,11.334,0.156,1.3
76,3,0.064,3,0.33,3.1,0.44,11.458,0.137,1.5
86,2,0.877,1.95,1.117,1.89,0.54,11.549,0.168,2.3
96,1.8,0.184,1.8,0.073,1.85,0.54,11.598,0.175,0.7
106,1.6,0.517,1.54,0.967,1.7,0.56,11.551,0.168,0.9
116,2,0.409,1.98,0.724,1.77,0.57,11.69,0.171,1.9
126,1.4,0.136,1.4,0.138,1.53,0.54,11.662,0.227,0.7
136,1.1,0.292,1.11,0.663,1.24,0.47,11.724,0.2,0.3
146,1,0.669,1.06,1.09,1.04,0.5,11.607,0.168,1.1
