"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.849,4.06,0.892,4.01,0.13,2.868,0.07,0.7
16,9.5,2.486,9.61,2.383,9.62,0.21,3.817,0.121,2.3
26,8.4,0.461,8.38,0.587,8.34,0.21,4.524,0.081,0.5
36,6.5,1.855,6.45,1.952,6.48,0.2,4.915,0.161,1.9
46,4.6,1.241,4.57,1.342,4.62,0.24,5.511,0.115,1.1
56,3.5,3.627,3.68,3.7,3.56,0.29,6.767,0.194,3.9
66,4.3,0.292,4.28,0.376,4.21,0.36,7.695,0.129,1.1
76,3,0.487,3,0.863,3,0.33,7.806,0.137,1.3
86,2,0.554,2.01,0.568,2.13,0.27,7.867,0.125,0.5
96,1.8,0.176,1.8,0.306,1.71,0.35,7.897,0.093,0.3
106,1.6,3.419,1.65,3.707,1.83,0.33,8.717,0.279,3.9
116,2,1.763,2.17,1.529,2.07,0.45,9.573,0.164,0.5
126,1.4,0.592,1.38,0.548,1.4,0.41,9.685,0.139,1.5
136,1.1,0.489,1.06,0.827,1.16,0.34,9.747,0.144,1.3
146,1,0.504,1.04,0.552,0.97,0.39,9.74,0.168,0.1
