"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,2.486,3.99,2.609,3.98,0.16,3.663,0.101,2.5
16,9.5,1.508,9.54,1.565,9.57,0.21,4.756,0.114,1.5
26,8.4,2.112,8.48,2.281,8.41,0.26,5.489,0.18,2.3
36,6.5,2.318,6.42,2.463,6.44,0.28,6.481,0.192,2.3
46,4.6,2.858,4.58,3.052,4.63,0.27,7.522,0.236,2.7
56,3.5,1.114,3.49,0.374,3.43,0.34,8.055,0.116,0.7
66,4.3,0.508,4.29,0.724,4.27,0.29,8.15,0.162,1.1
76,3,0.131,3.01,0.208,2.93,0.37,8.164,0.106,0.5
86,2,0.17,2,0.115,2,0.33,8.158,0.11,0.1
96,1.8,0.327,1.82,0.407,1.88,0.37,8.17,0.111,1.1
106,1.6,0.778,1.61,0.585,1.71,0.39,8.181,0.138,0.5
116,2,0.972,2,0.723,2.12,0.29,8.219,0.128,1.5
126,1.4,0.654,1.4,0.968,1.31,0.41,8.263,0.119,0.3
136,1.1,0.419,1.11,0.418,1.08,0.37,8.396,0.121,1.3
146,1,1.261,0.91,1.142,0.94,0.39,8.44,0.125,0.5
