"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.45,4.01,1.424,4.01,0.13,2.917,0.084,1.5
16,9.5,1.439,9.58,1.41,9.56,0.16,3.53,0.106,1.3
26,8.4,1.709,8.45,1.774,8.42,0.2,4.188,0.125,2.1
36,6.5,0.609,6.51,0.464,6.53,0.23,4.623,0.075,0.3
46,4.6,1.088,4.6,1.199,4.57,0.21,4.782,0.107,1.1
56,3.5,0.992,3.5,1.257,3.51,0.18,5.104,0.095,1.3
66,4.3,0.282,4.3,0.329,4.37,0.21,5.211,0.086,0.5
76,3,0.343,2.99,0.398,2.95,0.23,5.279,0.083,0.1
86,2,0.705,1.99,0.82,1.99,0.22,5.328,0.077,0.3
96,1.8,0.85,1.79,0.779,1.76,0.3,5.461,0.079,1.1
106,1.6,1.152,1.63,1.016,1.65,0.27,5.594,0.09,1.5
116,2,2.244,2,2.164,1.98,0.27,6.102,0.14,2.1
126,1.4,0.612,1.44,0.595,1.46,0.28,6.483,0.083,1.1
136,1.1,0.872,1.12,0.636,1.1,0.21,6.501,0.098,0.3
146,1,0.134,1.01,0.204,0.99,0.32,6.607,0.09,0.1
