"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.226,3.99,0.291,4.01,0.13,2.659,0.036,0.5
16,9.5,0.724,9.5,0.588,9.46,0.12,2.734,0.05,0.7
26,8.4,0.863,8.41,0.865,8.38,0.11,2.942,0.072,0.9
36,6.5,2.782,6.4,2.746,6.42,0.2,4.143,0.121,2.7
46,4.6,5.193,4.65,5.046,4.66,0.33,7.044,0.217,4.9
56,3.5,0.893,3.47,0.863,3.53,0.42,8.766,0.133,1.7
66,4.3,0.165,4.3,0.18,4.22,0.47,8.768,0.147,0.5
76,3,0.328,3,0.364,2.95,0.37,8.775,0.125,0.1
86,2,0.701,2.03,0.583,2.11,0.36,8.795,0.119,1.3
96,1.8,0.582,1.82,0.684,1.96,0.43,8.781,0.142,0.9
106,1.6,0.846,1.55,1.335,1.58,0.4,8.811,0.129,0.9
116,2,0.488,1.96,0.868,1.94,0.44,9.052,0.148,1.1
126,1.4,0.614,1.38,0.621,1.29,0.42,9.039,0.164,0.1
136,1.1,0.265,1.08,0.541,1.05,0.41,9.046,0.129,0.5
146,1,0.281,1,0.601,1.02,0.42,9.054,0.129,0.7
