"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.273,3.99,1.222,3.99,0.13,2.928,0.09,1.3
16,9.5,0.187,9.49,0.187,9.45,0.16,3.166,0.043,0.3
26,8.4,0.354,8.4,0.405,8.39,0.15,3.187,0.045,0.5
36,6.5,3.409,6.67,3.377,6.61,0.19,4.703,0.12,3.3
46,4.6,0.776,4.62,0.916,4.59,0.2,5.82,0.106,1.1
56,3.5,1.365,3.4,1.326,3.45,0.25,6.079,0.126,1.3
66,4.3,0.141,4.31,0.063,4.35,0.28,6.149,0.123,0.5
76,3,0.435,3,0.508,2.96,0.27,6.266,0.089,0.1
86,2,0.765,1.99,0.653,1.96,0.31,6.265,0.095,0.1
96,1.8,0.445,1.82,0.305,1.81,0.26,6.272,0.085,0.5
106,1.6,0.652,1.6,0.341,1.58,0.26,6.309,0.085,0.5
116,2,0.612,1.99,0.868,1.91,0.29,6.373,0.092,1.1
126,1.4,1.073,1.34,1.286,1.33,0.23,6.568,0.143,0.7
136,1.1,0.585,1.1,0.299,1.11,0.32,6.718,0.101,0.1
146,1,2.803,0.98,2.92,0.97,0.35,7.309,0.21,2.9
