"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.099,4,0.093,4,0.11,2.556,0.033,0.3
16,9.5,1.001,9.48,0.924,9.5,0.11,2.711,0.066,0.9
26,8.4,0.403,8.4,0.413,8.39,0.12,2.878,0.045,0.5
36,6.5,3.358,6.35,3.255,6.39,0.2,4.4,0.126,3.3
46,4.6,1.406,4.55,1.397,4.59,0.23,5.614,0.124,1.3
56,3.5,1.225,3.45,1.257,3.53,0.23,5.934,0.118,1.3
66,4.3,0.215,4.3,0.395,4.27,0.24,6.107,0.102,0.7
76,3,0.213,3,0.163,2.98,0.24,6.124,0.079,0.5
86,2,0.789,2.01,0.815,1.96,0.28,6.099,0.087,0.7
96,1.8,0.27,1.79,0.377,1.78,0.29,6.224,0.084,0.7
106,1.6,1.443,1.6,1.205,1.58,0.25,6.375,0.124,1.5
116,2,0.521,1.95,0.381,1.98,0.29,6.473,0.096,1.1
126,1.4,0.478,1.39,0.782,1.37,0.32,6.55,0.096,0.1
136,1.1,0.289,1.1,0.413,1.16,0.28,6.602,0.112,0.3
146,1,2.1,1.02,1.88,1.01,0.29,6.852,0.154,1.5
