"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.16,4.04,1.11,4.05,0.1,2.74,0.082,1.1
16,9.5,3.95,9.36,4.155,9.43,0.27,5.107,0.163,4.1
26,8.4,1.821,8.34,2.01,8.33,0.32,6.878,0.143,2.3
36,6.5,1.14,6.48,0.615,6.43,0.34,7.151,0.111,1.3
46,4.6,0.208,4.59,0.341,4.59,0.31,7.203,0.121,0.5
56,3.5,6.397,3.79,6.972,3.86,0.44,10.099,0.306,4.7
66,4.3,0.84,4.26,1.327,4.3,0.64,12.265,0.173,1.1
76,3,0.222,3.03,0.816,3.17,0.47,12.35,0.15,1.1
86,2,0.669,1.99,1.063,2.05,0.52,12.348,0.177,1.7
96,1.8,0.557,1.79,0.848,1.65,0.58,12.388,0.142,1.5
106,1.6,0.273,1.59,0.46,1.69,0.55,12.32,0.208,1.1
116,2,0.335,2.01,0.312,2.05,0.56,12.388,0.197,0.5
126,1.4,0.116,1.41,0.431,1.37,0.53,12.502,0.174,1.3
136,1.1,1.209,1.29,2.074,1.23,0.46,12.383,0.221,0.3
146,1,0.088,1,0.169,1.11,0.64,12.127,0.202,1.7
