"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.281,4.01,0.266,4,0.13,2.592,0.037,0.5
16,9.5,1.934,9.52,1.918,9.53,0.14,3.224,0.092,1.9
26,8.4,0.203,8.4,0.199,8.41,0.17,3.789,0.055,0.1
36,6.5,1.808,6.64,1.865,6.62,0.2,4.219,0.139,1.7
46,4.6,1.397,4.57,1.464,4.54,0.18,4.796,0.115,1.1
56,3.5,2.338,3.59,2.272,3.55,0.29,5.54,0.176,2.3
66,4.3,0.664,4.33,0.858,4.35,0.23,6.006,0.089,1.1
76,3,0.338,2.99,0.117,3,0.23,6.117,0.091,0.3
86,2,0.435,1.99,0.256,1.92,0.29,6.155,0.084,0.3
96,1.8,0.674,1.78,1.021,1.79,0.28,6.194,0.089,0.1
106,1.6,0.253,1.6,0.42,1.71,0.31,6.277,0.1,1.1
116,2,0.258,2,0.325,2.07,0.24,6.311,0.083,0.3
126,1.4,0.524,1.4,0.68,1.39,0.25,6.384,0.094,1.3
136,1.1,0.174,1.1,0.152,1.03,0.32,6.438,0.095,0.7
146,1,1.261,1,1.307,1.1,0.27,6.56,0.125,1.5
