"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.502,3.98,1.401,3.98,0.12,2.873,0.085,1.3
16,9.5,1.186,9.45,1.069,9.43,0.13,3.343,0.082,0.9
26,8.4,1.135,8.39,1.039,8.45,0.17,3.713,0.08,1.1
36,6.5,2.207,6.44,2.382,6.46,0.24,4.548,0.135,2.5
46,4.6,0.959,4.65,1.068,4.64,0.25,5.182,0.103,1.1
56,3.5,2.713,3.55,2.74,3.52,0.25,5.979,0.143,2.7
66,4.3,0.351,4.33,0.504,4.3,0.28,6.592,0.096,0.9
76,3,0.379,3,0.4,3.09,0.31,6.569,0.081,0.9
86,2,0.852,2.01,1.067,2.05,0.33,6.62,0.094,1.1
96,1.8,0.654,1.81,0.604,1.85,0.27,6.748,0.094,0.3
106,1.6,0.062,1.6,0.222,1.64,0.24,6.784,0.124,0.9
116,2,0.176,2,0.27,2.04,0.32,6.82,0.097,0.7
126,1.4,0.409,1.4,0.372,1.41,0.29,6.753,0.124,0.9
136,1.1,0.259,1.1,0.231,1.07,0.34,6.813,0.093,1.1
146,1,0.199,1.01,0.353,0.95,0.26,6.744,0.093,0.1
