"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.102,3.97,1.116,4,0.13,2.75,0.079,1.1
16,9.5,0.482,9.52,0.453,9.52,0.14,3.01,0.043,0.3
26,8.4,2.514,8.39,2.375,8.35,0.18,3.852,0.116,2.3
36,6.5,1.278,6.46,1.137,6.47,0.2,4.681,0.083,1.3
46,4.6,1.225,4.63,1.239,4.62,0.21,4.931,0.089,1.1
56,3.5,2.225,3.5,2.432,3.49,0.22,5.63,0.173,2.3
66,4.3,0.652,4.28,0.671,4.26,0.24,6.188,0.093,0.7
76,3,0.259,2.99,0.383,3.06,0.27,6.244,0.087,0.1
86,2,0.213,2,0.257,2.08,0.29,6.225,0.075,0.3
96,1.8,3.419,1.91,3.319,1.9,0.31,7.081,0.195,3.3
106,1.6,1.204,1.64,1.273,1.61,0.29,7.882,0.141,1.5
116,2,0.273,1.99,0.369,1.91,0.4,8.02,0.107,0.1
126,1.4,0.297,1.4,0.463,1.33,0.43,8.055,0.133,0.7
136,1.1,0.211,1.09,0.509,1.07,0.38,8.108,0.11,0.5
146,1,2.014,1.07,2.049,1.05,0.36,8.357,0.141,1.7
