"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.754,3.97,0.807,3.97,0.12,2.69,0.066,0.7
16,9.5,1.653,9.55,1.63,9.57,0.17,3.256,0.111,1.7
26,8.4,0.631,8.38,0.584,8.38,0.16,3.681,0.062,0.1
36,6.5,4.296,6.68,4.224,6.67,0.27,5.596,0.167,4.1
46,4.6,0.915,4.61,0.765,4.69,0.37,7.058,0.111,1.1
56,3.5,0.354,3.5,0.374,3.56,0.28,7.164,0.105,0.5
66,4.3,0.093,4.3,0.194,4.35,0.3,7.146,0.094,0.1
76,3,0.164,2.99,0.539,2.95,0.34,7.154,0.081,0.1
86,2,0.489,1.99,0.189,1.97,0.29,7.214,0.098,0.5
96,1.8,0.294,1.8,0.158,1.87,0.32,7.194,0.112,0.1
106,1.6,0.261,1.6,0.52,1.6,0.27,7.257,0.096,0.3
116,2,0.694,2,0.714,1.99,0.36,7.142,0.126,0.1
126,1.4,0.97,1.4,0.538,1.38,0.29,7.326,0.087,0.7
136,1.1,0.063,1.1,0.162,1.15,0.32,7.233,0.117,0.1
146,1,0.545,1.04,0.297,1.06,0.3,7.383,0.107,0.3
