"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.234,3.99,0.331,4,0.11,2.663,0.039,0.3
16,9.5,1.374,9.53,1.362,9.53,0.12,2.99,0.082,1.3
26,8.4,0.733,8.4,0.564,8.38,0.15,3.337,0.054,0.5
36,6.5,9.176,6.66,9.025,6.62,0.46,9.646,0.312,4.9
46,4.6,4.197,3.56,6.107,3.54,0.71,14.596,0.358,4.9
56,3.5,0.857,3.53,0.062,3.42,0.59,15.799,0.253,1.9
66,4.3,0.536,4.39,1.121,4.37,0.62,15.832,0.243,2.7
76,3,0.159,2.99,0.175,3.05,0.66,15.645,0.227,0.3
86,2,0.425,2.02,0.67,2.05,0.68,15.675,0.223,2.7
96,1.8,0.313,1.78,0.667,1.69,0.75,15.609,0.251,1.3
106,1.6,0.664,1.68,0.628,1.72,0.71,15.759,0.248,2.1
116,2,0.136,2.02,0.512,2.16,0.77,15.748,0.294,0.1
126,1.4,0.877,1.62,2.187,1.61,0.81,15.521,0.235,0.7
136,1.1,0.517,1.13,0.592,1.24,0.57,15.286,0.25,1.5
146,1,0.415,0.96,1.057,0.99,0.64,15.395,0.237,1.1
