"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.477,4.01,0.554,3.99,0.12,2.648,0.043,0.3
16,9.5,0.643,9.5,0.538,9.5,0.12,2.757,0.046,0.7
26,8.4,0.6,8.43,0.432,8.46,0.11,2.822,0.034,0.3
36,6.5,2.541,6.57,2.318,6.56,0.16,3.669,0.134,2.3
46,4.6,0.672,4.6,0.798,4.59,0.17,4.417,0.075,0.5
56,3.5,1.271,3.52,1.272,3.53,0.2,4.669,0.098,1.3
66,4.3,0.748,4.3,0.727,4.32,0.19,4.91,0.075,0.1
76,3,0.103,3,0.226,3,0.24,4.924,0.063,0.7
86,2,0.328,1.99,0.49,1.99,0.24,4.966,0.065,0.1
96,1.8,0.236,1.8,0.214,1.8,0.19,4.927,0.072,0.7
106,1.6,0.501,1.61,0.314,1.57,0.22,4.993,0.089,0.9
116,2,0.164,2,0.253,1.99,0.22,4.95,0.074,0.5
126,1.4,0.654,1.39,0.672,1.45,0.21,5.039,0.09,0.3
136,1.1,0.536,1.1,0.559,1.15,0.21,5.113,0.079,0.9
146,1,0.342,1,0.143,0.97,0.26,5.123,0.066,0.5
