"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.982,3.9,4.9,3.93,0.21,5.521,0.185,4.9
16,9.5,0.389,9.47,0.745,9.49,0.33,7.446,0.126,0.9
26,8.4,0.735,8.41,0.912,8.41,0.36,7.512,0.148,0.5
36,6.5,6.653,5.84,7.894,5.76,0.43,10.982,0.378,4.9
46,4.6,1.365,4.68,1.027,4.7,0.52,13.547,0.172,0.1
56,3.5,2.062,3.28,2.876,3.22,0.58,13.882,0.195,1.9
66,4.3,0.708,4.44,1.576,4.4,0.59,14.008,0.249,0.1
76,3,0.299,2.93,1.169,2.93,0.6,13.98,0.22,0.5
86,2,0.302,1.97,0.884,1.89,0.73,14.204,0.22,0.1
96,1.8,0.313,1.77,1.064,1.83,0.66,14.242,0.199,0.3
106,1.6,0.222,1.6,0.404,1.5,0.64,14.204,0.192,0.1
116,2,0.326,2.02,0.595,2.02,0.66,14.205,0.177,1.5
126,1.4,0.744,1.39,1.183,1.27,0.48,14.232,0.153,0.5
136,1.1,3.301,0.9,3.73,1,0.81,14.788,0.286,3.7
146,1,0.852,0.95,0.359,0.87,0.72,15.119,0.23,2.1
