"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.264,4,0.243,3.98,0.14,2.638,0.045,0.3
16,9.5,1.509,9.41,1.474,9.42,0.13,3.042,0.088,1.3
26,8.4,6.877,7.95,7.004,7.98,0.35,7.715,0.225,4.9
36,6.5,2.278,6.59,2.705,6.55,0.43,10.8,0.182,3.3
46,4.6,5.049,4.74,5.272,4.76,0.56,12.263,0.355,4.7
56,3.5,0.965,3.61,0.996,3.64,0.57,13.447,0.225,0.3
66,4.3,0.193,4.3,0.052,4.3,0.56,13.425,0.214,0.7
76,3,0.168,3,0.307,3.09,0.55,13.35,0.242,0.9
86,2,0.4,2.02,0.737,1.99,0.56,13.186,0.189,2.1
96,1.8,0.557,1.83,1.032,1.81,0.68,13.23,0.201,0.9
106,1.6,0.508,1.6,0.968,1.69,0.71,13.152,0.2,0.3
116,2,0.755,1.96,1.549,1.97,0.75,13.388,0.232,0.7
126,1.4,0.219,1.41,0.385,1.42,0.58,13.469,0.186,1.3
136,1.1,0.245,1.07,1.077,1.07,0.57,13.584,0.219,1.9
146,1,0.149,1,0.062,0.95,0.63,13.526,0.224,0.3
